stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,css
NA,NA,NA,NA,NA,NA,NA,NA,Daily News,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Daily Telegraph,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Dallas Morning News,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Deadspin,NA,.bOfvBY
NA,NA,NA,NA,NA,NA,NA,NA,digitaltrends.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,drudgereport,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,eater.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,El Nuevo Dia,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,engadget,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,finance.yahoo.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,freep.com,NA,.gnt_ar_b
NA,NA,NA,NA,NA,NA,NA,NA,Gizmodo,NA,.js_post-content
NA,NA,NA,NA,NA,NA,NA,NA,HonululuAdvertiser,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,ign.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,investopedia.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Marketwatch,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Milwaukee Journal Sentinel,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,mlive.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,MSNBC,NA,.article-body__content
NA,NA,NA,NA,NA,NA,NA,NA,NBC News,NA,.article-body__content
NA,NA,NA,NA,NA,NA,NA,NA,New Yorker,NA,.article__body
NA,NA,NA,NA,NA,NA,NA,NA,Newsday,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Newsmax,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,nj.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Oan,NA,p+ p
NA,NA,NA,NA,NA,NA,NA,NA,Omaha World-Herald,NA,p
